date,useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
02/01,1dcd2dcee2cb1144b921594a1f6fce3eda5137e83ddcf3cd81ee083e397c2ec9,CIV.1.,0.848,1,0,50379,5.40687,-3.97995,51402,1,8
02/01,1e3bc8acfbe36a62c9819859d784d586bdec39b97c1afec24524cb0ca0ea235c,CIV.1.,14.854,2,3.983,27591,5.36957,-3.94958,47340,1,8
02/01,1eb2ff4aa67f615ff8ffbcf2b50c054aac2fa98aeeff599ef3e34ae94255f5db,CIV.1.,20.16,2,1.035,13940,5.28101,-3.96891,102745,1,8
02/01,1eb35a4aa073051b3ee7895ee315e96fb75746de0a6121e99cfaafb36b4e0efe,-1,0.978,0,-1,-1,,,39555,-1,-1
02/01,1f248029380c94f79ce645fe5edde7b3c6f23fee5e39842c1cb5794feb2f629c,CIV.7.,2.119,1,0,22809,6.18478,-3.64394,34100,1,7
02/01,208b4aa35d39d276f674b9b91b2c06c9826822473a1eb76309b71b0c0841b1c2,-1,0,0,-1,-1,,,0,-1,-1
02/01,20b2e72c996a052a33f635edf3c84eaf2286342727eb208fd329894ff0d7b915,CIV.1.,63.995,3,2.388,13972,5.33112,-4.09241,70086,1,8
02/01,2109a15096ba53889388c89442cb5b4906a73d18862a12b195f107ba616cb08c,CIV.1.,0,1,-1,22369,5.29266,-3.97156,22369,1,8
02/01,21bd1bb9d1043bb4f8c0028e21c7582e82e1676ed7eeb196b0401ad52ece9b35,CIV.1.,90.05,3,7.652,23167,5.25429,-3.89981,129540,1,8
02/01,220f3b31fe65fcc4c078b51e61c1f4abdb45f4816708af433c36b788f5ca37e4,CIV.1.,0.066,1,-1,51968,5.32906,-4.0765,51968,1,8
02/01,2292874c42ac287b9c50e450bd27576b97e50ada967557cc955b65bc0eeb23ef,CIV.1.,0.962,1,0,78147,5.44647,-4.02649,78933,1,8
02/01,22a8c823c9f78347bd89763fe4f383fea904ce1ce7927ef5f0c3e24299b62d71,CIV.1.,0,1,-1,33366,5.33661,-4.09241,33366,1,8
02/01,22cb11e7b174919eb60179f8d8e89d5c2f91b96d7fceebf10e80b184435ce489,CIV.1.,34.411,2,6.629,5217,5.32013,-4.05945,23232,1,8
02/01,23a1e07b66a24768278169d6cc87b71528b2ee55344292f23a283ff26ba1cd40,CIV.1.,2.113,1,0,66291,5.3476,-4.0155,72231,1,8
02/01,23c167fdab146a9a9e903ee85968cad112a54d731243007ae268d2d7b35bf835,CIV.1.,42.014,2,3.105,37181,5.38055,-4.00452,69663,1,8
02/01,23e4d7d06fe08c8c75e2d2183413ba9dff9e3c1d312edb7ff40f660a114f36f1,CIV.1.,97.528,2,4.1,17667,5.36519,-3.96159,74195,1,8
02/01,2424bd63448af9cb08a9b22d5bbdff989af7094459bc86e493cdf9f94cb37f38,-1,20.571,0,-1,-1,,,22644,-1,-1
02/01,24434b3609fb858999533a9f9f21dc51b1cb23b1014f3243261f15b2336305c4,CIV.11.,14.218,2,1.241,3314,8.12248,-5.10345,101990,1,7
02/01,24c9e48a0bcd800766bd446e1dceccfedce2e3bd00e6b758ae0f8a2ccfddfd18,CIV.3.,13.868,1,0,47816,5.21991,-3.76459,80111,1,8
02/01,253202a13d048409d412cd2187c4720410abd912ae0209a28e8e6dbfadeaed3b,CIV.1.,3.473,2,0.633,75207,5.28168,-3.97156,78039,1,8
02/01,2543138eea6aa08f4db025c011bb994715667c0f22902eed1e047f9f9744f580,-1,0,0,-1,-1,,,4,-1,-1
02/01,2575a29d59eda5edf6a2e342a4fd549220111073dd9a9f3271a39469394a1e6e,CIV.9.,0.046,1,-1,31546,6.98187,-5.75121,31546,1,7
02/01,25b5fc5445cae0e22df72e1cd4847ce01873aaa2ebfd68ad260eaa715a669a94,-1,19.428,0,-1,-1,,,14975,-1,-1
02/01,262747f6476dc983b3800844935d8ffd4524b773a634ce760cd1ce5329c79159,CIV.1.,23.6,2,2.303,5824,5.33112,-3.94958,9233,1,8
